番組タイトル,シーズンNO,エピソードNO,エピソードタイトル,エピソード詳細,episode_length,episode_release_date,episode_id,show_id,season_id,番組詳細
アオツバメ通りの放課後,1,1,"シーズン1 第1話「真夜中の相談」",秘密基地で起きた出来事をきっかけに、メンバーたちは勘違いをほどく。,53,"2015/12/20 12:00",1,1,1,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,2,1,"シーズン2 第1話「忘れ物ミステリー」",キッチンで起きた出来事をきっかけに、メンバーたちはひらめきを形にする。,56,"2016/5/6 0:15",13,1,2,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,2,2,"シーズン2 第2話「気まずい沈黙」",配信スタジオで起きた出来事をきっかけに、メンバーたちは手探りで解決を目指す。,56,"2016/5/13 0:45",14,1,2,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,2,3,"シーズン2 第3話「ルール変更」",公園のベンチで起きた出来事をきっかけに、メンバーたちはそれぞれの本音がこぼれる。,53,"2016/5/19 12:30",15,1,2,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,2,4,"シーズン2 第4話「迷子のアイデア」",駅前広場で起きた出来事をきっかけに、メンバーたちは勘違いをほどく。,54,"2016/5/28 22:15",16,1,2,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,2,5,"シーズン2 第5話「逆転の一手」",図書室で起きた出来事をきっかけに、メンバーたちは大切なものに気づく。,55,"2016/6/3 20:15",17,1,2,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,2,6,"シーズン2 第6話「偶然の再会」",体育館の片隅で起きた出来事をきっかけに、メンバーたちは小さな勝負に挑む。,55,"2016/6/9 9:45",18,1,2,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,3,1,"シーズン3 第1話「寄り道ミッション」",配信スタジオで起きた出来事をきっかけに、メンバーたちは遠回りして答えに近づく。,53,"2016/9/20 22:15",25,1,3,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,3,2,"シーズン3 第2話「焦げたパン」",公園のベンチで起きた出来事をきっかけに、メンバーたちは思わぬ協力関係が生まれる。,57,"2016/9/28 20:30",26,1,3,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,3,3,"シーズン3 第3話「秘密のメモ」",駅前広場で起きた出来事をきっかけに、メンバーたちは計画を立て直す。,56,"2016/10/4 20:15",27,1,3,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,4,1,"シーズン4 第1話「素直になれない」",公園のベンチで起きた出来事をきっかけに、メンバーたちは大切なものに気づく。,53,"2017/2/6 0:15",37,1,4,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,4,2,"シーズン4 第2話「交換日記」",駅前広場で起きた出来事をきっかけに、メンバーたちは小さな勝負に挑む。,53,"2017/2/12 18:30",38,1,4,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,4,3,"シーズン4 第3話「雨の日の作戦」",図書室で起きた出来事をきっかけに、メンバーたちは新しい習慣を試す。,53,"2017/2/19 9:45",39,1,4,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,4,4,"シーズン4 第4話「新しい相棒」",体育館の片隅で起きた出来事をきっかけに、メンバーたちは遠回りして答えに近づく。,57,"2017/2/28 12:45",40,1,4,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,4,5,"シーズン4 第5話「小さな革命」",屋上で起きた出来事をきっかけに、メンバーたちは思わぬ協力関係が生まれる。,57,"2017/3/5 9:15",41,1,4,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,4,6,"シーズン4 第6話「もふもふ事件」",帰り道で起きた出来事をきっかけに、メンバーたちは計画を立て直す。,57,"2017/3/12 12:00",42,1,4,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,4,7,"シーズン4 第7話「素直になれない」",放課後の教室で起きた出来事をきっかけに、メンバーたちはひらめきを形にする。,56,"2017/3/21 12:00",43,1,4,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,4,8,"シーズン4 第8話「交換日記」",路地裏のカフェで起きた出来事をきっかけに、メンバーたちは手探りで解決を目指す。,56,"2017/3/28 22:15",44,1,4,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,4,9,"シーズン4 第9話「雨の日の作戦」",小さな商店街で起きた出来事をきっかけに、メンバーたちはそれぞれの本音がこぼれる。,57,"2017/4/2 0:00",45,1,4,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,5,1,"シーズン5 第1話「神ワザ発見」",駅前広場で起きた出来事をきっかけに、メンバーたちは手探りで解決を目指す。,55,"2017/6/23 0:30",49,1,5,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,5,2,"シーズン5 第2話「予想外の来客」",図書室で起きた出来事をきっかけに、メンバーたちはそれぞれの本音がこぼれる。,57,"2017/7/2 9:45",50,1,5,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,5,3,"シーズン5 第3話「特別なレシピ」",体育館の片隅で起きた出来事をきっかけに、メンバーたちは勘違いをほどく。,55,"2017/7/8 20:00",51,1,5,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,5,4,"シーズン5 第4話「伝言ゲーム」",屋上で起きた出来事をきっかけに、メンバーたちは大切なものに気づく。,56,"2017/7/15 20:00",52,1,5,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,5,5,"シーズン5 第5話「勇気のスイッチ」",帰り道で起きた出来事をきっかけに、メンバーたちは小さな勝負に挑む。,54,"2017/7/21 22:30",53,1,5,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,5,6,"シーズン5 第6話「はじめての挑戦」",放課後の教室で起きた出来事をきっかけに、メンバーたちは新しい習慣を試す。,56,"2017/7/30 18:45",54,1,5,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,5,7,"シーズン5 第7話「神ワザ発見」",路地裏のカフェで起きた出来事をきっかけに、メンバーたちは遠回りして答えに近づく。,54,"2017/8/5 9:00",55,1,5,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,7,1,"シーズン7 第1話「迷子のアイデア」",体育館の片隅で起きた出来事をきっかけに、メンバーたちは小さな勝負に挑む。,55,"2018/3/28 20:15",73,1,7,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,7,2,"シーズン7 第2話「逆転の一手」",屋上で起きた出来事をきっかけに、メンバーたちは新しい習慣を試す。,53,"2018/4/2 9:30",74,1,7,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,7,3,"シーズン7 第3話「偶然の再会」",帰り道で起きた出来事をきっかけに、メンバーたちは遠回りして答えに近づく。,54,"2018/4/11 9:15",75,1,7,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
アオツバメ通りの放課後,7,4,"シーズン7 第4話「忘れ物ミステリー」",放課後の教室で起きた出来事をきっかけに、メンバーたちは思わぬ協力関係が生まれる。,53,"2018/4/16 18:30",76,1,7,ゆるい会話と実例で、アオツバメ通りの放課後を身近に感じられる番組。
